model,wer_mean,wer_std,cer_mean,cer_std,bleu_avg_mean,rouge1_avg_f1_mean,levenshtein_avg_mean,time_mean,size_m_first,language_first
Faster Whisper Tiny (Turbo),0.4116309246309246,0.25027839884869996,0.10082485592390132,0.0718089038647129,0.3833773187994386,0.6866941346032981,7.32,0.5446357679367065,39,multilingual
Vosk STT (Small IT),0.39785203685203685,0.21199470421143599,0.1283351393092437,0.08921214372184454,0.39170496953919803,0.7555204526616195,8.16,0.3974146842956543,8,italian
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),0.4023196803196803,0.20712259452407597,0.08995551381075675,0.058598048452595454,0.3973056890754776,0.7304429278943313,5.6,2.3764242792129515,1000,italian
Wav2Vec2 XLSR Italian (Grosman),0.23119474969474968,0.1523493290200561,0.050637591394808855,0.04368343388810864,0.6105693904853597,0.9147595990753885,3.14,0.9041016721725463,315,italian
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",0.3332702297702298,0.2045449644078653,0.07904465651943672,0.07753219608552464,0.4745768658203941,0.7888689237164271,4.6,0.9540109062194824,315,multilingual
Whisper Distilled IT (bofenghuang),0.1063061383061383,0.14835708121492067,0.02011871252145569,0.026928551026195586,0.8082823532720178,0.9566355165977309,1.16,9.044894270896911,756,italian
Whisper Tiny (OpenAI),0.45037717837717833,0.24675455556012774,0.11655826312020175,0.0703931841743538,0.33129762857343276,0.6371426504109531,8.34,0.46037892818450926,39,multilingual
