model,wer_mean,wer_std,cer_mean,cer_std,bleu_avg_mean,rouge1_avg_f1_mean,levenshtein_avg_mean,time_mean,size_m_first,language_first
Faster Whisper Tiny (Turbo),0.5390880230880231,0.3559814560531282,0.16271298473349266,0.14964588055798142,0.2748890516825783,0.6236030113677172,6.48,0.5469554185867309,39,multilingual
Vosk STT (Small IT),0.295487012987013,0.2473610298474005,0.11982145594713105,0.13925190044414715,0.49411762830171874,0.7489279758768923,4.64,0.2671139860153198,8,italian
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),0.39044877344877343,0.30844357625694735,0.08942055586056442,0.08593940088680554,0.37556914462053453,0.6742079107682822,3.26,1.7380407905578614,1000,italian
Wav2Vec2 XLSR Italian (Grosman),0.10762698412698413,0.20110239259471904,0.025438956343205598,0.053793254296750546,0.7559146617269633,0.9082720057720057,0.88,0.6672424936294555,315,italian
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",0.3526291486291486,0.32388248773343903,0.09869945620671106,0.12765383670497812,0.41062104966338336,0.6877949217964698,3.22,0.6686541795730591,315,multilingual
Whisper Distilled IT (bofenghuang),0.2240728715728716,0.17222979037877634,0.05561953704203743,0.07184790463769179,0.6239720668765724,0.9390000000000001,1.96,10.51376992225647,756,italian
Whisper Tiny (OpenAI),0.5156731601731601,0.364720170780106,0.17033403281007115,0.1520611929456454,0.3186584822198644,0.6065354384177913,6.88,0.3885238742828369,39,multilingual
