model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
gemini-2.0-flash-lite,0.42857142857142855,0.17142857142857143,0.17567205239427922,0.7999999999999999,7.0,3.36
gemini-2.0-flash-lite,0.3333333333333333,0.06451612903225806,0.5081327481546147,1.0,3.0,3.72
gemini-2.0-flash-lite,0.5,0.07407407407407407,0.16990442448471224,1.0,3.0,2.3467120181405896
gemini-2.0-flash-lite,2.6666666666666665,1.8,0.0,0.0,46.0,2.94
gemini-2.0-flash-lite,0.2857142857142857,0.041666666666666664,0.6147881529512643,1.0,3.0,4.2
gemini-2.0-flash-lite,0.4,0.15,0.26591479484724945,1.0,4.0,2.52
gemini-2.0-flash-lite,1.0,0.7931034482758621,0.0,0.0,46.0,4.26
gemini-2.0-flash-lite,0.5,0.08695652173913043,0.16990442448471224,1.0,3.0,4.32
gemini-2.0-flash-lite,0.5,0.23076923076923078,0.16990442448471224,0.75,6.0,2.88
gemini-2.0-flash-lite,0.25,0.03636363636363636,0.6803749333171202,1.0,3.0,3.9
gemini-2.0-flash-lite,1.0,0.7857142857142857,0.0,0.2,23.0,2.7
gemini-2.0-flash-lite,0.42857142857142855,0.13333333333333333,0.41113361690051975,1.0,5.0,3.370702947845805
gemini-2.0-flash-lite,0.7142857142857143,0.627906976744186,0.4347208719449914,0.875,28.0,3.66
gemini-2.0-flash-lite,0.3,0.07407407407407407,0.537284965911771,0.9,5.0,4.98
gemini-2.0-flash-lite,0.5714285714285714,0.34210526315789475,0.17103294495668978,0.4615384615384615,14.0,2.88
gemini-2.0-flash-lite,0.4,0.0625,0.26591479484724945,1.0,3.0,3.0
gemini-2.0-flash-lite,0.4,0.14285714285714285,0.26591479484724945,1.0,4.0,2.52
gemini-2.0-flash-lite,0.3333333333333333,0.05714285714285714,0.5081327481546147,1.0,3.0,3.24
gemini-2.0-flash-lite,0.2857142857142857,0.046511627906976744,0.6147881529512643,1.0,3.0,3.96
gemini-2.0-flash-lite,0.2222222222222222,0.037037037037037035,0.7259795291154771,1.0,3.0,3.54
gemini-2.0-flash-lite,0.3333333333333333,0.046511627906976744,0.5081327481546147,1.0,3.0,3.12
gemini-2.0-flash-lite,0.5,0.12,0.16990442448471224,1.0,3.0,2.709387755102041
gemini-2.0-flash-lite,2.0,1.8888888888888888,0.023980296761827107,0.5,35.0,1.92
gemini-2.0-flash-lite,1.0,0.967741935483871,0.2626909894424158,0.7499999999999999,31.0,3.36
gemini-2.0-flash-lite,0.8888888888888888,0.6226415094339622,0.02414176971688927,0.7058823529411765,33.0,4.14
gemini-2.0-flash-lite,0.25,0.03571428571428571,0.6803749333171202,1.0,3.0,3.9
gemini-2.0-flash-lite,0.8888888888888888,0.7659574468085106,0.13168903966325227,0.6153846153846154,36.0,3.48
gemini-2.0-flash-lite,0.6666666666666666,0.14285714285714285,0.11362193664674995,1.0,2.0,1.62
gemini-2.0-flash-lite,0.25,0.075,0.6803749333171202,1.0,4.0,3.54140589569161
gemini-2.0-flash-lite,0.25,0.04225352112676056,0.6315552371794037,1.0,4.0,4.437414965986394
gemini-2.0-flash-lite,0.4,0.07407407407407407,0.26591479484724945,1.0,3.0,2.52
gemini-2.0-flash-lite,0.5,0.24489795918367346,0.1535259783865636,0.7777777777777778,13.0,3.12
gemini-2.0-flash-lite,0.5,0.0851063829787234,0.08563683466425753,0.9411764705882353,5.0,3.72
gemini-2.0-flash-lite,1.2,1.0666666666666667,0.11868405219520975,0.7142857142857143,33.0,3.0
gemini-2.0-flash-lite,0.2222222222222222,0.03636363636363636,0.7259795291154771,1.0,3.0,4.26
gemini-2.0-flash-lite,16.5,19.5,0.0,0.1081081081081081,430.0,1.98
gemini-2.0-flash-lite,0.3333333333333333,0.06451612903225806,0.5081327481546147,1.0,3.0,2.9227210884353743
gemini-2.0-flash-lite,0.36363636363636365,0.10526315789473684,0.33932513407933634,0.8181818181818182,7.0,4.38
gemini-2.0-flash-lite,0.2727272727272727,0.04477611940298507,0.6786502681586727,1.0,4.0,5.16
gemini-2.0-flash-lite,0.5,0.1,0.16990442448471224,1.0,3.0,2.28
gemini-2.0-flash-lite,0.75,0.125,0.08034284189446518,0.75,4.0,3.0
gemini-2.0-flash-lite,0.8333333333333334,0.7692307692307693,0.2626909894424158,0.7499999999999999,31.0,3.54
