dataset,model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
common_voice,Wav2Vec2 XLSR Italian (Grosman),0.2311850371850371,0.0472168229352123,0.589912529198655,0.9130174108271092,2.85,1.0819381761550904
ITALIC,Wav2Vec2 XLSR Italian (Grosman),0.164635101010101,0.0405022556642646,0.6765932827484863,0.8619348407425451,1.45,0.6724947500228882
azure_synthetic_dataset,Wav2Vec2 XLSR Italian (Grosman),0.4481981319094628,0.2604684350445833,0.3381440848891524,0.7229033268951638,140.27,7.488191905021668
google_synthetic_dataset,Wav2Vec2 XLSR Italian (Grosman),0.4355471599640115,0.2500820296917605,0.3547779922114555,0.7786385009269889,138.11,7.356418807506561
coqui_dataset,Wav2Vec2 XLSR Italian (Grosman),0.49809758006014354,0.24528215468644754,0.28249425188744753,0.6708702278936356,135.41,6.661416668891906
