dataset,model,wer,cer,bleu_avg,rouge1_avg_f1,levenshtein_avg,time
common_voice,Vosk STT (Small IT),0.4301951381951381,0.1373836857409581,0.3598018500393454,0.7345077990779462,8.01,0.3294305086135864
ITALIC,Vosk STT (Small IT),0.3220443722943723,0.1347309179731499,0.462900607149172,0.7281284654932033,5.1,0.231687741279602
azure_synthetic_dataset,Vosk STT (Small IT),0.6790227612453568,0.4480281403729277,0.1601872294511094,0.5107329390532445,240.03,8.473844048976899
google_synthetic_dataset,Vosk STT (Small IT),0.5141749444337962,0.2983515774916284,0.2867483976486921,0.7259054577487802,164.48,2.5202510261535647
coqui_dataset,Vosk STT (Small IT),0.6464068338712576,0.28542788954631443,0.22622580707917886,0.6505089226348256,157.63,2.5458102083206176
