model,composite_score,wer_mean,cer_mean,bleu_avg_mean,rouge1_avg_f1_mean,levenshtein_avg_mean,time_mean,size_m_first,num_datasets
Wav2Vec2 XLSR Italian (Grosman),0.6304627452656598,0.556307027155981,0.3222454566371905,0.3721944135949249,0.68317223960085,54.2575,2.3872210925817487,315.0,4
Vosk STT (Small IT),0.6246157698442172,0.7036058995360435,0.37685786260302967,0.24925007106637553,0.6226169116749187,58.2,0.7850298458337783,8.0,4
Faster Whisper Tiny (Turbo),0.5746902789111479,0.8464407112602272,0.35857813621522333,0.1750120103876724,0.533288145960442,55.45,0.9203300172090529,39.0,4
Whisper Tiny (OpenAI),0.5709804194775611,0.8506829936369875,0.3495533120814937,0.1666480219161352,0.5023228547194518,52.5125,0.9252368247509002,39.0,4
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",0.5423272029221912,0.6598548012302364,0.35581426601384986,0.22169275646920103,0.5185306065312785,56.5,2.435262779593468,326.0,4
Whisper Distilled IT (bofenghuang),0.5401142441517921,0.5477917552774838,0.21138119033307484,0.41221593445221827,0.8047718870343954,34.61,11.594305682182313,756.0,4
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),0.4006775746528871,0.7080958413386343,0.3454730683689856,0.21130502289918177,0.5129042840264596,55.39,6.048145558834076,963.0,4
