model,wer_mean,wer_std,cer_mean,cer_std,bleu_avg_mean,rouge1_avg_f1_mean,levenshtein_avg_mean,time_mean,size_m_first,language_first
Faster Whisper Tiny (Turbo),1.2806006516025465,0.6719185108860801,0.6830580953406714,0.34938605290024594,0.03350644343239836,0.31159738150810845,123.18,1.5546253681182862,39,multilingual
Vosk STT (Small IT),1.1292963733714947,0.15892894492892704,0.5755899983439408,0.0627638375216907,0.07979027853768543,0.460226929250282,101.56,1.1350448417663574,8,italian
Wav2Vec2 XLS-R 1B Italian Robust (DBDMG),1.0652620508037431,0.14821715943191288,0.593652448345925,0.056279810057649905,0.04590484755579206,0.27430444003330323,104.8,9.998511686325074,1000,italian
Wav2Vec2 XLSR Italian (Grosman),0.8631458457645551,0.12727074183253131,0.5409021543474863,0.06707801486293478,0.11173029637328113,0.4517009313853645,95.04,3.4081132650375365,315,italian
"Wav2Vec2 XLSR Multilingual (voidful, 56 lang)",0.8692838270291599,0.08916944527501718,0.5488337005900982,0.0536035805663732,0.04597944785879708,0.31696188214504895,96.7,4.043259859085083,315,multilingual
Whisper Distilled IT (bofenghuang),1.0386461533504292,0.21718769846702085,0.5459942983050838,0.10097571010051239,0.12457354214835979,0.5194790336607457,96.38,11.673078169822693,756,italian
Whisper Tiny (OpenAI),1.3143522274086115,0.3571392833382961,0.6669338670599769,0.1870141469249514,0.028476343170056956,0.28573224382760104,119.04,1.3119216299057006,39,multilingual
